district,broadband_connection,children_in_poverty,designated_primary_care_shortage_area,diabetes,food_insecurity,high_blood_pressure,medicaid_enrollment,obesity,physical_inactivity,rent_burden,routine_checkup_18,unemployment,uninsured
Virginia's 10th,84.2,9.9,0.9,9.9,10.3,30.3,10.3,30.5,20.3,46.4,78.6,2.8,7.4
Virginia's 11th,90.6,8.4,0.0,9.8,8.7,28.1,9.2,23.5,18.2,42.6,77.5,3.6,6.0
Virginia's 1st,79.0,9.9,21.2,11.8,9.9,35.9,12.7,32.8,21.0,48.8,80.3,2.5,5.1
Virginia's 2nd,79.5,8.0,8.1,12.6,13.4,36.3,15.5,37.7,23.1,53.3,80.2,2.6,6.6
Virginia's 3rd,74.4,15.2,0.0,13.9,20.4,37.8,28.2,40.6,27.2,54.8,79.6,4.5,8.8
Virginia's 4th,71.9,20.2,11.0,14.1,19.4,38.4,25.9,38.9,26.8,52.6,79.2,4.7,8.4
Virginia's 5th,59.3,16.9,52.5,14.1,15.4,38.9,21.5,36.9,26.6,47.5,79.9,1.7,7.3
Virginia's 6th,68.7,21.4,15.7,12.9,14.0,36.8,21.0,36.9,26.3,45.1,78.8,2.6,9.2
Virginia's 7th,80.3,11.7,18.4,11.7,13.9,34.0,16.6,37.2,24.0,47.6,78.4,4.7,8.4
Virginia's 8th,84.6,14.0,0.0,9.5,11.0,27.9,12.2,27.1,19.1,44.8,76.6,4.2,8.8
Virginia's 9th,64.4,19.2,31.3,14.3,15.1,39.4,25.0,37.3,28.5,44.5,79.2,3.0,8.0
